"","Gene","Category1","Category2","Subcategory","M0_w","SequenceLength","Category","M87_padj","M21_padj","PosSelM87","PosSelM21","GeneStableID","logPPI_medconf","logSeqL"
"21","Abt1","Control",NA,NA,"0.17998",789,"Control",0.975994748190639,1,0,0,"ENSMUSG00000036376",2.02938377768521,2.89707700320942
"22","Acap3","Control",NA,NA,"0.03507",2499,"Control",0.0645301919101283,1,0,0,"ENSMUSG00000029033",1.04139268515823,3.39776625612645
"23","Acd","Control",NA,NA,"0.51088",1266,"Control",4.45265879851577e-08,0.000134199058661377,1,1,"ENSMUSG00000038000",1.94939000664491,3.10243370568134
"24","Ackr2","CytoChemoRecept","CytoChemoRecept","CCRecept","0.25908",1143,"Immune",0.000749085695123543,0.0028056106019448,1,1,"ENSMUSG00000044534",2.16731733474818,3.05804623039528
"25","Ackr3","CytoChemoRecept","CytoChemoRecept","CCRecept","0.02885",1086,"Immune",0.050845701445126,1,0,0,"ENSMUSG00000044337",1.81291335664286,3.03582982525283
"26","Ackr4","CytoChemoRecept","CytoChemoRecept","CCRecept","0.13902",1050,"Immune",1,1,0,0,"ENSMUSG00000079355",1.60205999132796,3.02118929906994
"27","Acod1","Control",NA,NA,"0.18557",1464,"Control",0.0919232807228375,1,0,0,"ENSMUSG00000022126",1.88649072517248,3.16554107672237
"28","Acp5","Control",NA,NA,"0.09772",978,"Control",0.120976714165739,1,0,0,"ENSMUSG00000001348",1.67209785793572,2.9903388547876
"29","Acta1","Control",NA,NA,"1E-4",1131,"Control",1,1,0,0,"ENSMUSG00000031972",2.47275644931721,3.05346260492546
"30","Actg1",NA,NA,NA,"0.00096",1125,"Immune",1,1,0,0,"ENSMUSG00000062825",2.66086547800387,3.05115252244738
"31","Actg2","Control",NA,NA,"0.00057",1128,"Control",1,1,0,0,"ENSMUSG00000059430",2.00432137378264,3.05230909964732
"32","Actl6a","Control",NA,NA,"0.00615",1287,"Control",0.954095979037802,1,0,0,"ENSMUSG00000027671",2.30749603791321,3.10957854690439
"33","Actr1a","Control",NA,NA,"0.00132",1128,"Control",1,1,0,0,"ENSMUSG00000025228",2.21218760440396,3.05230909964732
"34","Actr2",NA,NA,NA,"0.00478",1182,"Immune",1,1,0,0,"ENSMUSG00000020152",2.28330122870355,3.07261747654524
"35","Actr3",NA,NA,NA,"0.0129",1254,"Immune",1,1,0,0,"ENSMUSG00000026341",2.16731733474818,3.0982975364947
"36","Actrt2","Control",NA,NA,"0.09504",1131,"Control",0.504796460551543,1,0,0,"ENSMUSG00000051276",1.88649072517248,3.05346260492546
"37","Adam10","intracellSignaling","otherIntracellSignaling",NA,"0.04287",2247,"Immune",0.000165179706675378,1,1,0,"ENSMUSG00000054693",2.28555730900777,3.35160307241913
"39","Adam8","extracellProteaseInhib","extracellProteaseInhib",NA,"0.45276",2466,"Immune",2.6195976604846e-15,3.14003281207889e-11,1,1,"ENSMUSG00000025473",1.46239799789896,3.39199307225971
"40","Adamts3","Control",NA,NA,"0.11533",3609,"Control",0.0237270201499324,1,1,0,"ENSMUSG00000043635",1.47712125471966,3.55738688205951
"41","Adamts7","Control",NA,NA,"0.28583",4980,"Control",1.05968625414969e-09,1,1,0,"ENSMUSG00000032363",1.53147891704226,3.69722934275972
"42","Adar",NA,NA,NA,"0.17316",3522,"Immune",5.95615757789877e-06,1,1,0,"ENSMUSG00000027951",2.16136800223497,3.54678935163126
"43","Adarb2","Control",NA,NA,"0.0766",2235,"Control",0.114748943576869,1,0,0,"ENSMUSG00000052551",1.66275783168157,3.34927752746796
"44","Adck5","Control",NA,NA,"0.16809",1740,"Control",0.699206140709745,1,0,0,"ENSMUSG00000022550",1.61278385671974,3.2405492482826
"45","Adcy5","Control",NA,NA,"0.03625",3783,"Control",0.487811398567123,1,0,0,"ENSMUSG00000022840",2.17897694729317,3.57783634129274
"46","Adgrf3","Control",NA,NA,"0.47589",2979,"Control",0,3.99224265367704e-10,1,1,"ENSMUSG00000067642",1.04139268515823,3.47407050321504
"47","Adgrg3","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.26853",1614,"Immune",6.76288790514097e-13,6.39333193363414e-08,1,1,"ENSMUSG00000060470",1.11394335230684,3.20790353038605
"48","Adgrl2","Control",NA,NA,"0.05327",4461,"Control",3.26428252933249e-11,1,1,0,"ENSMUSG00000028184",2.35793484700045,3.64943222324162
"49","Adnp2","Control",NA,NA,"0.17358",3456,"Control",0.361967645136867,1,0,0,"ENSMUSG00000053950",1.46239799789896,3.53857373380686
"50","Adssl1","Control",NA,NA,"0.04907",1437,"Control",0.0104190577818455,1,1,0,"ENSMUSG00000011148",2.30535136944662,3.15745676813423
"51","Aff2","Control",NA,NA,"0.22982",3807,"Control",0.445548527247725,1,0,0,"ENSMUSG00000031189",1.44715803134222,3.58058287681437
"52","Ager","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.34314",1212,"Immune",0.0183410535383911,1,1,0,"ENSMUSG00000015452",1.77085201164214,3.08350261983027
"53","Agpat4","Control",NA,NA,"0.04136",1134,"Control",1,1,0,0,"ENSMUSG00000023827",1.77085201164214,3.05461305455689
"54","Ahr","intracellSignaling","TranscrFact","TranscrFact","0.21075",2352,"Immune",1,1,0,0,"ENSMUSG00000019256",1.70757017609794,3.3714373174041
"55","AI854703","Control",NA,NA,"0.04027",609,"Control",0.0346394462119017,1,1,0,"ENSMUSG00000053297",0,2.78461729263288
"56","Aicda",NA,NA,NA,"0.02456",594,"Immune",0.873817695436207,1,0,0,"ENSMUSG00000040627",2.3541084391474,2.77378644498119
"57","Aim2","PRR","PRR","NucleicAcids","0.5535",1050,"Immune",2.53250945317174e-05,0.00119134382200121,1,1,"ENSMUSG00000037860",2.10380372095596,3.02118929906994
"58","Aip","Control",NA,NA,"0.04868",990,"Control",0.00115121361075367,1,1,0,"ENSMUSG00000024847",1.55630250076729,2.99563519459755
"59","Ajap1","Control",NA,NA,"0.08558",1230,"Control",0.00038846746402705,0.158327184493739,1,0,"ENSMUSG00000039546",1.11394335230684,3.0899051114394
"60","Akirin2","intracellSignaling","Adaptor","Adaptor","0.06831",603,"Immune",1,1,0,0,"ENSMUSG00000028291",1.60205999132796,2.78031731214015
"61","Akt1","intracellSignaling","Kinase","Kinase","0.00792",1440,"Immune",0.210109301232975,1,0,0,"ENSMUSG00000001729",3.21932250841934,3.15836249209525
"62","Akt2","intracellSignaling","Kinase","Kinase","0.02281",1443,"Immune",0.00171995743966982,1,1,0,"ENSMUSG00000004056",2.46982201597816,3.15926633109349
"63","Akt3","intracellSignaling","Kinase","Kinase","0.00695",1437,"Immune",0.877713361994855,1,0,0,"ENSMUSG00000019699",2.35602585719312,3.15745676813423
"64","Alas1",NA,NA,NA,"0.0732",1926,"Immune",0.108484633376655,1,0,0,"ENSMUSG00000032786",1.81291335664286,3.28465628278852
"65","Alas2",NA,NA,NA,"0.13142",1761,"Immune",1,1,0,0,"ENSMUSG00000025270",2,3.24575935596728
"66","Aldh1a2","Control",NA,NA,"0.00975",1554,"Control",0.564818616212302,1,0,0,"ENSMUSG00000013584",2.13672056715641,3.1914510144649
"67","Alg10b","Control",NA,NA,"0.15693",1422,"Control",0.0767014164576168,1,0,0,"ENSMUSG00000075470",1.25527250510331,3.15289959639375
"68","Alg5","Control",NA,NA,"0.12926",972,"Control",0.699206140709745,1,0,0,"ENSMUSG00000036632",1.85125834871908,2.98766626492627
"69","Alox5","intracellSignaling","otherIntracellSignaling",NA,"0.05418",2022,"Immune",0.00186864402211167,1,1,0,"ENSMUSG00000025701",2.01703333929878,3.30578115125498
"70","Alpk1","PRR","PRR","CellWallComponents","0.32745",3729,"Immune",1.19133341178894e-05,0.000685583552039007,1,1,"ENSMUSG00000028028",1.49136169383427,3.57159238336131
"71","Als2","Control",NA,NA,"0.10468",4953,"Control",0.0602190493284892,1,0,0,"ENSMUSG00000026024",1.95424250943932,3.69486832798246
"72","Amacr","Control",NA,NA,"0.25262",1146,"Control",1.50061443925789e-08,0.000169712914889166,1,1,"ENSMUSG00000022244",1.83884909073726,3.05918461763137
"73","Amer1","Control",NA,NA,"0.24038",3318,"Control",0.00237615850921014,1,1,0,"ENSMUSG00000050332",2.02530586526477,3.52087638168834
"74","Ampd3",NA,NA,NA,"0.03098",2325,"Immune",0.019609896292746,1,1,0,"ENSMUSG00000005686",1.88081359228079,3.36642295722597
"75","Anapc5",NA,NA,NA,"0.02828",2220,"Immune",0.840332615217531,1,0,0,"ENSMUSG00000029472",2.23299611039215,3.34635297445064
"76","Anapc7","Control",NA,NA,"0.01586",1695,"Control",1,1,0,0,"ENSMUSG00000029466",2.22788670461367,3.2291697025391
"82","Ank1","Control",NA,NA,"0.05076",5721,"Control",0.000109256774974748,1,1,0,"ENSMUSG00000031543",2.40483371661994,3.75747194776567
"83","Ankfn1","Control",NA,NA,"0.11669",3852,"Control",0.482009422303946,1,0,0,"ENSMUSG00000047773",1.38021124171161,3.5856862784525
"84","Ankhd1","intracellSignaling","otherIntracellSignaling",NA,"0.12274",7617,"Immune",0.000491404270128929,1,1,0,"ENSMUSG00000024483",1.5910646070265,3.88178395559338
"85","Ankrd13a","Control",NA,NA,"0.05744",1764,"Control",0.0168146760053278,1,1,0,"ENSMUSG00000041870",1.11394335230684,3.2464985807958
"86","Ankrd13c","Control",NA,NA,"0.04854",1578,"Control",0.302286734748247,1,0,0,"ENSMUSG00000039988",1.11394335230684,3.1981069988734
"87","Ankrd17","intracellSignaling","otherIntracellSignaling",NA,"0.05571",7701,"Immune",0.0595110962772015,1,0,0,"ENSMUSG00000055204",1.7160033436348,3.88654712339111
"88","Ankrd35","Control",NA,NA,"0.22334",2961,"Control",1.38193517065753e-07,0.0975575472337885,1,0,"ENSMUSG00000038354",0.954242509439325,3.4714384073893
"89","Ankrd61","Control",NA,NA,"0.26843",1254,"Control",0.866655169471588,1,0,0,"ENSMUSG00000029607",0.954242509439325,3.0982975364947
"90","Ano6",NA,NA,NA,"0.05338",2796,"Immune",0.00926945415286854,1,1,0,"ENSMUSG00000064210",1.39794000867204,3.44653716707364
"91","Ano7","Control",NA,NA,"0.15803",2574,"Control",0.0752611527835781,1,0,0,"ENSMUSG00000034107",1.07918124604762,3.41060854256837
"92","Ano9","Control",NA,NA,"0.25837",2229,"Control",1.88000639867011e-13,3.98203684908722e-09,1,1,"ENSMUSG00000054662",1.11394335230684,3.34811006848024
"93","Anp32a","Control",NA,NA,"0.04317",741,"Control",1,1,0,0,"ENSMUSG00000032249",1.63346845557959,2.86981820797933
"94","Anpep","extracellProteaseInhib","extracellProteaseInhib",NA,"0.34638",2856,"Immune",0,0,1,1,"ENSMUSG00000039062",2.20682587603185,3.45575820310414
"95","Anxa1","intracellSignaling","otherIntracellSignaling",NA,"0.17737",1038,"Immune",1.73774761144469e-05,6.50712806095641e-05,1,1,"ENSMUSG00000024659",2.33041377334919,3.01619735351244
"96","Aoc1","Control",NA,NA,"0.19605",2253,"Control",0.28455364261263,1,0,0,"ENSMUSG00000029811",1.63346845557959,3.35276119172383
"97","Ap3b1","Control",NA,NA,"0.11903",3225,"Control",0.200306927409506,1,0,0,"ENSMUSG00000021686",2.25042000230889,3.50852971897129
"98","Ap3d1","Control",NA,NA,"0.04588",3582,"Control",2.00921946221278e-08,1,1,0,"ENSMUSG00000020198",1.94939000664491,3.55412558151301
"99","Ap3s2","Control",NA,NA,"0.01763",579,"Control",1,1,0,0,"ENSMUSG00000063801",1.70757017609794,2.76267856372744
"100","Apbb1ip","intracellSignaling","Adaptor","Adaptor","0.23955",1989,"Immune",0.162637960562601,1,0,0,"ENSMUSG00000026786",1.95904139232109,3.29863478312444
"101","Apc2","Control",NA,NA,"0.10892",6921,"Control",0.231915226614553,1,0,0,"ENSMUSG00000020135",2.02938377768521,3.84016884924076
"102","Apcs",NA,NA,NA,"0.59304",672,"Immune",2.48525474461573e-10,4.82643235057145e-07,1,1,"ENSMUSG00000026542",2,2.82736927305383
"103","Apex1","Control",NA,NA,"0.07629",951,"Control",0.305856932087497,1,0,0,"ENSMUSG00000035960",2.14921911265538,2.97818051693741
"104","Aph1a","Control",NA,NA,"0.05519",795,"Control",0.627957414939258,1,0,0,"ENSMUSG00000015750",1.63346845557959,2.90036712865647
"105","Apip","Control",NA,NA,"0.10157",723,"Control",0.165823700312315,1,0,0,"ENSMUSG00000010911",1.57978359661681,2.85913829729453
"106","Aplf","Control",NA,NA,"0.51444",1521,"Control",0.000381678438019984,0.0286321753694244,1,1,"ENSMUSG00000030051",1.80617997398389,3.182129214053
"107","Apln","Control",NA,NA,"0.22405",231,"Control",1,1,0,0,"ENSMUSG00000037010",2.06818586174616,2.36361197989214
"108","Apobec1","Control",NA,NA,"0.35487",684,"Control",0.074969833282334,0.406133572960695,0,0,"ENSMUSG00000040613",1.57978359661681,2.83505610172012
"109","Apobec3","Effector","Effector","RestrFact","0.57598",1212,"Immune",1.05968467524674e-09,6.98625004057512e-07,1,1,"ENSMUSG00000009585",2.23552844690755,3.08350261983027
"110","App","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.03096",2310,"Immune",0.000634821126883529,1,1,0,"ENSMUSG00000022892",2.86093662070009,3.36361197989214
"111","Aqp6","Control",NA,NA,"0.06531",819,"Control",0.23955055585662,1,0,0,"ENSMUSG00000043144",1.34242268082221,2.91328390176042
"112","Arg1","intracellSignaling","otherIntracellSignaling",NA,"0.14837",969,"Immune",0.0894774165840991,1,0,0,"ENSMUSG00000019987",2.47712125471966,2.98632377705077
"113","Arhgap32","Control",NA,NA,"0.15757",6252,"Control",0.148277812825528,1,0,0,"ENSMUSG00000041444",1.61278385671974,3.79601896934715
"114","Arhgdia","Control",NA,NA,"0.01366",612,"Control",1,1,0,0,"ENSMUSG00000025132",2.06445798922692,2.78675142214556
"115","Arhgef15","Control",NA,NA,"0.11143",2544,"Control",0.19084389167316,1,0,0,"ENSMUSG00000052921",1.39794000867204,3.40551710697638
"116","Arl1","Control",NA,NA,"0.00489",543,"Control",0.30244913572227,1,0,0,"ENSMUSG00000060904",1.93951925261862,2.73479982958885
"117","Arpc1a",NA,NA,NA,"0.01079",1110,"Immune",1,1,0,0,"ENSMUSG00000029621",1.98227123303957,3.04532297878666
"118","Arpc1b",NA,NA,NA,"0.03011",1113,"Immune",1,1,0,0,"ENSMUSG00000029622",2.10037054511756,3.04649516433471
"119","Arpc2",NA,NA,NA,"0.01794",900,"Immune",1,1,0,0,"ENSMUSG00000006304",2.16435285578444,2.95424250943932
"120","Arpc3",NA,NA,NA,"0.01499",534,"Immune",1,1,0,0,"ENSMUSG00000029465",2.1846914308176,2.72754125702856
"121","Arpc4",NA,NA,NA,"1E-4",504,"Immune",1,1,0,0,"ENSMUSG00000079426",1.94939000664491,2.70243053644553
"122","Arpc5",NA,NA,NA,"0.01099",453,"Immune",0.0864042950218573,1,0,0,"ENSMUSG00000008475",1.91381385238372,2.65609820201283
"123","Arrdc2","Control",NA,NA,"0.1193",1212,"Control",0.44327536003043,1,0,0,"ENSMUSG00000002910",1.39794000867204,3.08350261983027
"124","Asb15","Control",NA,NA,"0.11989",1749,"Control",0.0176330492548689,1,1,0,"ENSMUSG00000029685",1.53147891704226,3.24278980947868
"125","Asb2","intracellSignaling","Adaptor","Adaptor","0.05655",1902,"Immune",0.0219095116686208,1,1,0,"ENSMUSG00000021200",1.83250891270624,3.2792105126014
"126","Asb5","Control",NA,NA,"0.08141",987,"Control",1,1,0,0,"ENSMUSG00000031519",1.84509804001426,2.99431715266964
"127","Asgr2","Control",NA,NA,"0.29989",909,"Control",0.000326699367236513,1,1,0,"ENSMUSG00000040963",1.25527250510331,2.95856388322197
"128","Atf2","intracellSignaling","TranscrFact","TranscrFact","0.08145",1461,"Immune",1,1,0,0,"ENSMUSG00000027104",2.32428245529769,3.1646502159343
"129","Atf6","Control",NA,NA,"0.12537",1974,"Control",0.428506757122685,1,0,0,"ENSMUSG00000026663",2.25527250510331,3.29534714833362
"130","Atg5","intracellSignaling","otherIntracellSignaling",NA,"0.04803",825,"Immune",0.383076134179329,1,0,0,"ENSMUSG00000038160",2.46982201597816,2.91645394854993
"131","Atg7","intracellSignaling","Ubiquitinase","Ubiquitinase","0.08148",2112,"Immune",0.11449011862609,1,0,0,"ENSMUSG00000030314",2.45484486000851,3.32469391386177
"132","Atp13a5","Control",NA,NA,"0.15928",3645,"Control",0.000880875618592084,1,1,0,"ENSMUSG00000048939",1,3.56169753265399
"133","Atp2a1","Control",NA,NA,"0.01721",2979,"Control",1.82665068785123e-09,1,1,0,"ENSMUSG00000030730",2.10720996964787,3.47407050321504
"134","Atp4a","Control",NA,NA,"0.01372",3102,"Control",1,1,0,0,"ENSMUSG00000005553",1.96378782734556,3.49164179347759
"135","Atp5md","Control",NA,NA,"0.15842",174,"Control",0.643792001297468,1,0,0,"ENSMUSG00000071528",2.11727129565576,2.2405492482826
"136","Atp6v1a","Control",NA,NA,"0.01159",1851,"Control",1,1,0,0,"ENSMUSG00000052459",2.12385164096709,3.2674064187529
"137","Atp6v1h","Control",NA,NA,"0.01139",1449,"Control",1,1,0,0,"ENSMUSG00000033793",2.07188200730613,3.16106838547117
"138","Atp7a",NA,NA,NA,"0.14847",4485,"Immune",0.00225678674607521,1,1,0,"ENSMUSG00000033792",2.02530586526477,3.65176244738011
"139","Atp9b","Control",NA,NA,"0.04125",3441,"Control",0.572847331627159,1,0,0,"ENSMUSG00000024566",1.04139268515823,3.53668467262093
"140","Axl","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.13293",2664,"Immune",0.000103523574897304,0.0550725088919163,1,0,"ENSMUSG00000002602",2.25042000230889,3.42553422049826
"142","Azgp1",NA,NA,NA,"0.2863",921,"Immune",0.0292731355116398,1,1,0,"ENSMUSG00000037053",1.95904139232109,2.96425963019685
"143","Azi2","intracellSignaling","Adaptor","Adaptor","0.22858",1215,"Immune",0.00300624235531599,1,1,0,"ENSMUSG00000039285",1.30102999566398,3.08457627793433
"144","B2m","otherCellSurfaceProt","otherCellSurfaceProt",NA,"0.28294",357,"Immune",0.0032245223392052,1,1,0,"ENSMUSG00000060802",2.68663626926229,2.55266821611219
"145","B4galnt1","Control",NA,NA,"0.17472",1599,"Control",0.022214757051328,1,1,0,"ENSMUSG00000006731",1.43136376415899,3.20384846374623
"146","B4galt1",NA,NA,NA,"0.16334",1197,"Immune",0.258898325545695,1,0,0,"ENSMUSG00000028413",1.99563519459755,3.07809415040641
"147","B4galt6","Control",NA,NA,"0.05307",1146,"Control",0.000224861215248929,1,1,0,"ENSMUSG00000056124",1.82607480270083,3.05918461763137
"148","B630019K06Rik","Control",NA,NA,"0.21147",876,"Control",0.0178202220134382,1,1,0,"ENSMUSG00000052364",1.20411998265592,2.94250410616808
"149","Babam2","Control",NA,NA,"0.05505",1182,"Control",1,1,0,0,"ENSMUSG00000052139",2.12385164096709,3.07261747654524
"150","Bahd1","Control",NA,NA,"0.12613",2325,"Control",0.0779378340732003,1,0,0,"ENSMUSG00000040007",1.69019608002851,3.36642295722597
"151","Banf2","Control",NA,NA,"0.14636",270,"Control",0.202333342076299,1,0,0,"ENSMUSG00000037307",1.75587485567249,2.43136376415899
"152","Bank1","intracellSignaling","otherIntracellSignaling",NA,"0.39599",2358,"Immune",0.0572223809278983,1,0,0,"ENSMUSG00000037922",1.47712125471966,3.37254380075907
"153","Bap1","Control",NA,NA,"0.08558",2181,"Control",0.975994748190639,1,0,0,"ENSMUSG00000021901",2.27415784926368,3.3386556655787
"154","Batf3","Control",NA,NA,"0.08798",354,"Control",1,1,0,0,"ENSMUSG00000026630",2.09342168516224,2.54900326202579
"155","Bbip1","Control",NA,NA,"0.15263",195,"Control",0.0316832036715212,0.463506589979308,1,0,"ENSMUSG00000084957",1.20411998265592,2.29003461136252
"156","Bbox1","Control",NA,NA,"0.12215",1161,"Control",1,1,0,0,"ENSMUSG00000041660",1.68124123737559,3.06483221973857
"157","Bbs2","Control",NA,NA,"0.09111",2163,"Control",0.000626097553880897,1,1,0,"ENSMUSG00000031755",1.94448267215017,3.33505651943909
"158","BC024139","Control",NA,NA,"0.5555",2289,"Control",8.14803962505064e-11,3.82388274649319e-07,1,1,"ENSMUSG00000044361",0.602059991327962,3.35964579267454
"160","Bcan","Control",NA,NA,"0.16869",2643,"Control",0.0220960187752777,1,1,0,"ENSMUSG00000004892",2.03342375548695,3.42209716313171
"161","Bcap31",NA,NA,NA,"0.14128",735,"Immune",0.510903357236348,1,0,0,"ENSMUSG00000002015",1.99563519459755,2.86628733908419
"162","Bcar1","intracellSignaling","otherIntracellSignaling",NA,"0.07429",2622,"Immune",0.623222490176436,1,0,0,"ENSMUSG00000031955",2.31806333496276,3.41863268735407
"163","Bcas2","Control",NA,NA,"0.01018",675,"Control",1,1,0,0,"ENSMUSG00000005687",2.3096301674259,2.82930377283102
"164","Bckdk","Control",NA,NA,"0.03392",1236,"Control",1,1,0,0,"ENSMUSG00000030802",1.92941892571429,3.0920184707528
"165","Bcl10","intracellSignaling","otherIntracellSignaling",NA,"0.07846",696,"Immune",1,1,0,0,"ENSMUSG00000028191",2.13353890837022,2.84260923961056
"166","Bcl2","intracellSignaling","otherIntracellSignaling","Inhibitor","0.11303",708,"Immune",1,1,0,0,"ENSMUSG00000057329",2.96941591235398,2.85003325768977
"167","Bcl2l1","intracellSignaling","otherIntracellSignaling","Inhibitor","0.07508",699,"Immune",0.425680764294496,1,0,0,"ENSMUSG00000007659",2.64933485871214,2.84447717574568
"168","Bcl3","intracellSignaling","otherIntracellSignaling","Inhibitor","0.15929",1344,"Immune",1,1,0,0,"ENSMUSG00000053175",1.98227123303957,3.12839926871781
"169","Bcl6","intracellSignaling","TranscrFact","TranscrFact","0.05396",2124,"Immune",0.639286547303859,1,0,0,"ENSMUSG00000022508",2.43136376415899,3.32715451240943
"170","Bcor","Control",NA,NA,"0.16381",5202,"Control",0.000791560033588816,1,1,0,"ENSMUSG00000040363",1.79239168949825,3.71617034785985
"171","Bcs1l","Control",NA,NA,"0.08382",1254,"Control",0.928475034524305,1,0,0,"ENSMUSG00000026172",2.3541084391474,3.0982975364947
"172","Bdkrb2",NA,NA,NA,"0.11665",1179,"Immune",0.00992750323965867,1,1,0,"ENSMUSG00000021070",2.22271647114758,3.07151380509509
"173","Bdp1","Control",NA,NA,"0.56454",7182,"Control",0,0,1,1,"ENSMUSG00000049658",1.9731278535997,3.85624540079005
"174","Birc2","intracellSignaling","otherIntracellSignaling","Inhibitor","0.20079",1800,"Immune",0.0134919855208508,1,1,0,"ENSMUSG00000057367",2.45788189673399,3.25527250510331
"175","Birc3","intracellSignaling","otherIntracellSignaling","Inhibitor","0.19674",1806,"Immune",1,1,0,0,"ENSMUSG00000032000",2.47712125471966,3.25671774597749
"176","Blk","intracellSignaling","Kinase","Kinase","0.09056",1497,"Immune",0.509091120507238,1,0,0,"ENSMUSG00000014453",1.69019608002851,3.17522180034305
"177","Blnk","intracellSignaling","Adaptor","Adaptor","0.14275",1371,"Immune",1,1,0,0,"ENSMUSG00000061132",1.95904139232109,3.13703745478951
"178","Bloc1s6","Control",NA,NA,"0.1354",516,"Control",1,1,0,0,"ENSMUSG00000005804",2.10037054511756,2.71264970162721
"179","Bmerb1","Control",NA,NA,"0.06185",609,"Control",1,1,0,0,"ENSMUSG00000044117",0.698970004336019,2.78461729263288
"180","Bmi1","Control",NA,NA,"0.07158",972,"Control",0.954095979037802,1,0,0,"ENSMUSG00000026739",2.49692964807321,2.98766626492627
"181","Bmx","intracellSignaling","Kinase","Kinase","0.11675",1962,"Immune",0.0483276088560683,1,1,0,"ENSMUSG00000031377",1.53147891704226,3.29269900304393
"182","Borcs6","Control",NA,NA,"0.22849",1032,"Control",0.472328085475042,1,0,0,"ENSMUSG00000045176",1.30102999566398,3.01367969729119
"183","Bpi","Effector","Effector","AMP","0.56176",1452,"Immune",2.86702324381327e-10,2.87064518552695e-05,1,1,"ENSMUSG00000052922",1.07918124604762,3.16196661636407
"184","Bpifa1",NA,NA,NA,"0.48042",807,"Immune",0.0514941337046255,0.54722058113372,0,0,"ENSMUSG00000027483",1.64345267648619,2.90687353472207
"185","Bpifa5",NA,NA,NA,"0.46705",807,"Immune",0.000553131709058391,0.0334044863869769,1,1,"ENSMUSG00000027484",0.903089986991944,2.90687353472207
"186","Bpifa6","Control",NA,NA,"0.75903",1110,"Control",3.63753304849172e-08,6.45336204090144e-06,1,1,"ENSMUSG00000078998",1.56820172406699,3.04532297878666
"187","Bpifb1","PRR","PRR","CellWallComponents","0.40915",1422,"Immune",3.43502912594135e-05,0.000272334628591472,1,1,"ENSMUSG00000027485",1.75587485567249,3.15289959639375
